Temperatura A,Temperatura B, Diferencia,Voltaje
22.47,18.92,3.55,0.01
22.68,20.25,2.43,0.02
22.88,18.92,3.96,0.02
23.08,16.16,6.92,0.03
23.29,18.92,4.37,0.04
23.29,18.92,4.37,0.04
23.70,20.25,3.45,0.04
24.52,17.56,6.96,0.06
24.93,18.92,6.01,0.06
25.76,16.16,9.6,0.07
26.17,17.56,8.61,0.07
26.79,17.56,9.23,0.08
27.62,17.56,10.06,0.09
28.45,17.56,10.89,0.09
29.49,17.56,11.93,0.11
30.11,16.16,13.95,0.12
30.73,16.16,14.57,0.12
31.77,16.16,15.61,0.13
32.39,14.71,17.68,0.13
33.43,14.71,18.72,0.14
34.25,13.21,21.04,0.15
35.49,17.56,17.93,0.16
36.71,18.92,17.79,0.15
37.53,17.56,19.97,0.17
38.54,17.56,20.98,0.17
39.74,16.16,23.58,0.17
40.73,18.92,21.81,0.17
41.91,17.56,24.35,0.17
43.07,17.56,25.51,0.18
44.02,20.25,23.77,0.19
44.96,18.92,26.04,0.20
46.43,17.56,28.87,0.20
47.32,18.92,28.4,0.20
48.37,18.92,29.45,0.20
49.39,17.56,31.83,0.21
50.38,17.56,32.82,0.21
51.18,18.92,32.26,0.22
52.25,18.92,33.33,0.22
53.14,18.92,34.22,0.23
53.98,17.56,36.42,0.23
54.79,18.92,35.87,0.24
55.55,18.92,36.63,0.23
56.28,20.25,36.03,0.23
56.85,18.92,37.93,0.24
57.28,21.55,35.73,0.24
57.59,17.56,40.03,0.24
57.99,18.92,39.07,0.24
58.46,21.55,36.91,0.25
58.72,20.25,38.47,0.24
58.98,18.92,40.06,0.24
59.14,20.25,38.89,0.24
59.30,21.55,37.75,0.24
59.38,18.92,40.46,0.24
59.45,22.82,36.63,0.24
59.53,20.25,39.28,0.24
59.45,20.25,39.2,0.23
59.60,18.92,40.68,0.23
59.53,22.82,36.71,0.23
59.53,20.25,39.28,0.23
59.60,20.25,39.35,0.23
59.45,22.82,36.63,0.23
59.60,20.25,39.35,0.23
59.53,21.55,37.98,0.22
59.45,21.55,37.9,0.23
59.45,22.82,36.63,0.22
59.53,22.82,36.71,0.22
59.45,21.55,37.9,0.22
59.38,24.07,35.31,0.23
59.38,22.82,36.56,0.22
59.38,21.55,37.83,0.22
59.45,21.55,37.9,0.22
59.38,24.07,35.31,0.22
59.38,22.82,36.56,0.22
59.38,22.82,36.56,0.22
59.38,22.82,36.56,0.22
59.38,20.25,39.13,0.22
59.45,22.82,36.63,0.22
59.38,24.07,35.31,0.22
59.30,22.82,36.48,0.21
59.30,22.82,36.48,0.21
59.38,21.55,37.83,0.21
59.38,24.07,35.31,0.21
59.38,25.29,34.09,0.20
59.45,22.82,36.63,0.21
59.30,22.82,36.48,0.20
59.45,26.49,32.96,0.21
59.38,25.29,34.09,0.21
59.45,22.82,36.63,0.20
59.30,25.29,34.01,0.20
59.38,24.07,35.31,0.20
59.30,24.07,35.23,0.20
59.45,24.07,35.38,0.20
59.30,22.82,36.48,0.20
59.30,25.29,34.01,0.20
59.30,24.07,35.23,0.20
59.38,22.82,36.56,0.20
59.38,24.07,35.31,0.20
59.30,26.49,32.81,0.20
59.30,25.29,34.01,0.19
59.30,22.82,36.48,0.19
59.30,25.29,34.01,0.20
59.30,26.49,32.81,0.19
59.30,24.07,35.23,0.19
59.38,25.29,34.09,0.19
59.30,25.29,34.01,0.19
59.30,25.29,34.01,0.19
59.30,26.49,32.81,0.18
59.30,25.29,34.01,0.19
59.22,25.29,33.93,0.19
59.38,25.29,34.09,0.19
59.30,25.29,34.01,0.19
59.14,26.49,32.65,0.18
59.22,26.49,32.73,0.18
59.30,26.49,32.81,0.19
59.22,26.49,32.73,0.18
59.22,25.29,33.93,0.18
59.14,26.49,32.65,0.18
59.22,24.07,35.15,0.18
59.22,26.49,32.73,0.18
59.14,25.29,33.85,0.18
59.06,27.66,31.4,0.18
59.14,25.29,33.85,0.18
59.14,25.29,33.85,0.18
59.14,25.29,33.85,0.18
59.06,25.29,33.77,0.18
59.14,27.66,31.48,0.18
59.06,25.29,33.77,0.18
59.06,26.49,32.57,0.18
58.89,25.29,33.6,0.18
59.06,25.29,33.77,0.18
59.06,25.29,33.77,0.18
59.06,25.29,33.77,0.18
59.06,25.29,33.77,0.17
59.06,26.49,32.57,0.17
59.06,25.29,33.77,0.18
58.89,27.66,31.23,0.18
58.98,27.66,31.32,0.17
58.98,25.29,33.69,0.18
58.89,26.49,32.4,0.17
58.89,25.29,33.6,0.17
58.98,26.49,32.49,0.17
58.89,26.49,32.4,0.17
58.89,27.66,31.23,0.17
58.81,25.29,33.52,0.18
58.81,27.66,31.15,0.17
58.81,24.07,34.74,0.17
58.72,27.66,31.06,0.17
58.72,26.49,32.23,0.17
58.72,26.49,32.23,0.17
58.72,27.66,31.06,0.17
58.64,26.49,32.15,0.17
58.72,25.29,33.43,0.17
58.64,25.29,33.35,0.17
58.64,26.49,32.15,0.17
58.55,26.49,32.06,0.17
58.64,27.66,30.98,0.16
58.55,27.66,30.89,0.17
58.55,26.49,32.06,0.16
58.55,26.49,32.06,0.16
58.46,27.66,30.8,0.16
58.55,26.49,32.06,0.16
58.46,27.66,30.8,0.17
58.55,26.49,32.06,0.17
58.46,24.07,34.39,0.16
58.46,27.66,30.8,0.17
58.46,26.49,31.97,0.17
58.46,26.49,31.97,0.16
58.37,26.49,31.88,0.16
58.37,26.49,31.88,0.16
58.27,27.66,30.61,0.16
58.27,25.29,32.98,0.16
58.37,26.49,31.88,0.17
58.27,26.49,31.78,0.16
58.27,27.66,30.61,0.16
58.27,25.29,32.98,0.16
58.18,25.29,32.89,0.17
58.18,27.66,30.52,0.16
58.09,27.66,30.43,0.16
58.18,26.49,31.69,0.16
58.09,27.66,30.43,0.16
58.09,27.66,30.43,0.16
58.09,26.49,31.6,0.16
57.99,28.81,29.18,0.15
58.09,27.66,30.43,0.16
57.99,27.66,30.33,0.16
57.99,26.49,31.5,0.15
57.99,27.66,30.33,0.17
57.99,26.49,31.5,0.16
57.99,26.49,31.5,0.16
58.09,27.66,30.43,0.17
58.09,26.49,31.6,0.18
58.18,26.49,31.69,0.18
58.18,25.29,32.89,0.18
58.18,26.49,31.69,0.19
58.27,26.49,31.78,0.19
58.37,26.49,31.88,0.19
58.37,26.49,31.88,0.19
58.37,26.49,31.88,0.19
58.37,27.66,30.71,0.19
58.18,26.49,31.69,0.20
58.27,26.49,31.78,0.20
58.27,27.66,30.61,0.20
58.18,26.49,31.69,0.20
58.09,26.49,31.6,0.19
58.18,26.49,31.69,0.20
57.99,25.29,32.7,0.20
58.09,26.49,31.6,0.20
58.18,27.66,30.52,0.19
58.09,27.66,30.43,0.20
58.09,27.66,30.43,0.19
58.09,27.66,30.43,0.20
58.18,27.66,30.52,0.20
58.09,28.81,29.28,0.20
57.99,28.81,29.18,0.19
57.99,27.66,30.33,0.20
57.89,26.49,31.4,0.19
57.89,27.66,30.23,0.19
57.79,26.49,31.3,0.20
57.89,28.81,29.08,0.20
57.99,28.81,29.18,0.20
57.79,28.81,28.98,0.19
57.89,27.66,30.23,0.19
57.89,27.66,30.23,0.19
57.79,27.66,30.13,0.19
57.79,26.49,31.3,0.19
57.59,27.66,29.93,0.20
57.79,26.49,31.3,0.19
57.59,26.49,31.1,0.19
57.69,27.66,30.03,0.18
